# Mastronarde AtticGreek Principal Parts (Incr,GrEn) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP GrEn
#deck column:5
#html:false
τέταγμαι,τέταγμαι,Perfect Middle of τάττω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
ἐτάχθην,ἐτάχθην,Aorist Passive of τάττω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 09"
δεήσει,δεήσει,Future of δεῖ,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἐδέησε,ἐδέησε,Aorist of δεῖ,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
δόξει,δόξει,Future of δοκεῖ,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
ἔδοξε,ἔδοξε,Aorist of δοκεῖ,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
δέδοκται,δέδοκται,Perfect Middle of δοκεῖ,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 09"
ἐξέσται,ἐξέσται,Future of ἔξεστι,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
χρήσται,χρήσται,Future of χρή,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 09"
βαλέω,βαλέω,Future of βάλλω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
ἔβαλον,ἔβαλον,Aorist of βάλλω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
βέβληκα,βέβληκα,Perfect of βάλλω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
βέβλημαι,βέβλημαι,Perfect Middle of βάλλω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
ἐβληθην,ἐβληθην,Aorist Passive of βάλλω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 10"
ἔσομαι,ἔσομαι,Future of εἰμί,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
εὑρησω,εὑρησω,Future of εὑρίσκω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
ηὗρον,ηὗρον,Aorist of εὑρίσκω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
ηὕρηκα,ηὕρηκα,Perfect of εὑρίσκω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
ηὕρημαι,ηὕρημαι,Perfect Middle of εὑρίσκω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
ηὑρέθην,ηὑρέθην,Aorist Passive of εὑρίσκω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 10"
πείσομαι,πείσομαι,Future of πάσχω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
ἔπαθον,ἔπαθον,Aorist of πάσχω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
πέπονθα,πέπονθα,Perfect of πάσχω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
πράξω,πράξω,Future of πράττω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
ἔπραξα,ἔπραξα,Aorist of πράττω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 10"
πέπραγα,πέπραγα,Perfect #1 of πράττω (same meaning),pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
πέπραχα,πέπραχα,Perfect #2 of πράττω (same meaning),pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
πέπραγμαι,πέπραγμαι,Perfect Middle of πράττω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 10"
ἐπάχθην,ἐπάχθην,Aorist Passive of πράττω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 10"
ἀποκτενέω,ἀποκτενέω,Future of ἀποκτείνω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἀπέκτεινα,ἀπέκτεινα,Aorist of ἀποκτείνω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἀπέκτονα,ἀπέκτονα,Perfect of ἀποκτείνω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
βουλεύσω,βουλεύσω,Future of βουλεύω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἐβούλευσα,ἐβούλευσα,Aorist of βουλεύω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
βεβούλευκα,βεβούλευκα,Perfect of βουλεύω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
βεβούλευμαι,βεβούλευμαι,Perfect Middle of βουλεύω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
ἐβουλεύθην,ἐβουλεύθην,Aorist Passive of βουλεύω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
γυμνάσω,γυμνάσω,Future of γυμνάζω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἐγύνμασα,ἐγύνμασα,Aorist of γυμνάζω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
γεγύμνακα,γεγύμνακα,Perfect of γυμνάζω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
γεγύμνασμαι,γεγύμνασμαι,Perfect Middle of γυμνάζω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
ἐγυμνάσθην,ἐγυμνάσθην,Aorist Passive of γυμνάζω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
δικάσω,δικάσω,Future of δικάζω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἐδίκασα,ἐδίκασα,Aorist of δικάζω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
δεδίκακα,δεδίκακα,Perfect of δικάζω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
δεδίκασμαι,δεδίκασμαι,Perfect Middle of δικάζω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
ἐδικάσθην,ἐδικάσθην,Aorist Passive of δικάζω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
κόψω,κόψω,Future of κόπτω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἔκοψα,ἔκοψα,Aorist of κόπτω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
-κέκοφα,-κέκοφα,Perfect of κόπτω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
κέκομμαι,κέκομμαι,Perfect Middle of κόπτω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
-εκόπην,-εκόπην,Aorist Passive of κόπτω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
παρασκευάσω,παρασκευάσω,Future of παρασκευάζω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
παρεσκεύασα,παρεσκεύασα,Aorist of παρασκευάζω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
παρεσκεύασμαι,παρεσκεύασμαι,Perfect Middle of παρασκευάζω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
παρεσκευάσθην,παρεσκευάσθην,Aorist Passive of παρασκευάζω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
πολιτεύσω,πολιτεύσω,Future of πολιτεύω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἐπολίτευσα,ἐπολίτευσα,Aorist of πολιτεύω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
πεπολίτευκα,πεπολίτευκα,Perfect of πολιτεύω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
πεπολίτευμαι,πεπολίτευμαι,Perfect Middle of πολιτεύω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
ἐπολιτεύθην,ἐπολιτεύθην,Aorist Passive of πολιτεύω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 11"
σπείσω,σπείσω,Future of σπένδω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἔσπεισα,ἔσπεισα,Aorist of σπένδω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ἔσπεισμαι,ἔσπεισμαι,Perfect Middle of σπένδω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 11"
αἰσθήσομαι,αἰσθήσομαι,Future of αἰσθάνομαι,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
ᾐσθόμην,ᾐσθόμην,Aorist of αἰσθάνομαι,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 11"
